Feature,RF_Importance,XGB_Importance,Permutation_Importance,RF_Norm,XGB_Norm,PERM_Norm,Ensemble_Score,Cumulative_Contribution
output_hybrid_lag_24,0.0010346301348244,0.002530832,0.0008325059119598,0.0010026041990146,0.0031966474,0.0004081182204139,0.0015357899367172,0.9880677695020367
surface_radiation_lag_24,0.0005235461251561,0.0029389225,0.0003545524966043,0.0004379837437419,0.003956181,0.0001447986865754,0.00151298780917,0.9892216554887258
upper_atmospheric_radiation_lag_36,0.0001270913282554,0.0032003536,9.396847358053016e-05,0.0,0.0044427537,1.2347716333374837e-06,0.001481329502521,0.9903513971457758
output_hybrid_lag_48,0.0009067798861896,0.0025766871,0.0006364471400796,0.000861361537876,0.0032819924,0.0003001032910133,0.0014811524077888,0.9914810037408456
upper_atmospheric_radiation_lag_1,0.0004183027920964,0.0029367215,0.0002666918119955,0.0003217160900832,0.0039520846,9.639347851413204e-05,0.0014567313811486,0.9925919855457815
surface_radiation_lag_25,0.000557619617664,0.0025805545,0.0004175294941672,0.0004756264609637,0.0032891901,0.0001794946906378,0.0013147704241988,0.9935947002795034
upper_atmospheric_radiation_lag_14,0.0001849987963979,0.0028682803,0.0001442260729063,6.397332025224882e-05,0.0038247025,2.892326009505049e-05,0.0013058663481304,0.994590624285278
surface_radiation_lag_1,0.000829362736236,0.0022745784,0.0008168019852728,0.0007758348815419,0.0027197108,0.0003994664344411,0.0012983373766061,0.9955808062918879
upper_atmospheric_radiation_lag_61,0.0001619861217022,0.0028673727,0.0001173015705159,3.855005006982478e-05,0.0038230133,1.4089706885725051e-05,0.0012918843448933,0.9965660668689796
surface_radiation_lag_60,0.0001948920854476,0.0024166415,0.0001448347726015,7.490293898750842e-05,0.002984117,2.9258611857077397e-05,0.0010294261896344,0.9973511627219341
surface_radiation_lag_12,0.0002039717295971,0.0021894649,0.0001743527261406,8.493368288963328e-05,0.0025612984,4.552097868208967e-05,0.0008972510311334,0.9980354546805951
surface_radiation_lag_61,0.0002258664969736,0.002068039,0.0001564010340343,0.0001091219440958,0.002335302,3.5630828208869625e-05,0.0008266849461208,0.998665929142421
upper_atmospheric_radiation_lag_24,0.0002491455883534,0.0016969463,0.0001730547673298,0.0001348395383162,0.0016446282,4.480589244560042e-05,0.0006080912232087,0.9991296922585786
upper_atmospheric_radiation_lag_48,0.0002712168022986,0.001646047,0.0001771627829823,0.0001592227290059,0.0015498949,4.7069127170725386e-05,0.0005853955925527,0.999576146464503
upper_atmospheric_radiation_lag_37,0.0001537193531743,0.0016466615,0.0001244155490927,2.9417331139890268e-05,0.0015510387,1.8009020907534543e-05,0.0005328216846886,0.9999825049768717
surface_radiation_lag_13,0.0001729050838573,0.0008133026,0.0001247734681349,5.061278196216028e-05,0.0,1.820620973874729e-05,2.2939663900302523e-05,0.9999999999999997
